tier,symbol,earnings_date,timing,entry (close-15m),exit (open+15m),company
NO_DATA,DAL,2026-07-10,BMO,2026-07-09,2026-07-10,"Delta Air Lines, Inc."
NO_DATA,PEP,2026-07-09,BMO,2026-07-08,2026-07-09,"Pepsico, Inc."
